name,department,email,salary,years_at_company,start_date
Danielle Scott,Finance,danielle.scott@polars.io,158616,4,2021-04-23
Kristin Young,Sales,kristin.young@polars.io,74927,9,2016-03-07
Kari Diaz,Sales,kari.diaz@polars.io,86009,9,2016-04-23
Garrett Moore,,garrett.moore@polars.io,58382,10,2015-02-20
Katie Potter,Finance,katie.potter@polars.io,123578,4,2020-11-11
Mr. Francisco Waters MD,Sales,mr..md@polars.io,63311,8,2017-06-09
Carrie Haley,Finance,carrie.haley@polars.io,156418,4,2021-05-11
Valerie Rivera,,valerie.rivera@polars.io,73413,4,2021-03-08
Cynthia Estrada,Sales,cynthia.estrada@polars.io,62310,9,2016-04-20
Rebecca Skinner,,rebecca.skinner@polars.io,64904,10,2014-12-03
Emily Fitzgerald,Engineering,emily.fitzgerald@polars.io,142989,4,2020-07-24
Margaret Hunter,Operations,margaret.hunter@polars.io,111779,2,2022-10-20
Mary Palmer,Finance,mary.palmer@polars.io,124337,5,2020-06-04
Daniel Owens,Operations,daniel.owens@polars.io,119029,2,2022-11-06
Jody Rice,Finance,jody.rice@polars.io,174125,6,2019-03-19
Michael Grant,Marketing,michael.grant@polars.io,108847,10,2015-04-25
Larry Owens,Operations,larry.owens@polars.io,117863,5,2020-06-20
Christine Williamson,Marketing,christine.williamson@polars.io,97327,1,2024-06-20
Matthew Hernandez,Operations,matthew.hernandez@polars.io,110409,6,2018-11-17
Matthew Lawson,Engineering,matthew.lawson@polars.io,182425,8,2017-03-21
William Johnson,HR,william.johnson@polars.io,85563,7,2018-03-06
Robert Hall,Operations,robert.hall@polars.io,114763,6,2019-07-12
Kayla Elliott,Engineering,kayla.elliott@polars.io,178827,6,2018-08-05
Chelsea Williamson,Engineering,chelsea.williamson@polars.io,189501,10,2015-06-28
Elizabeth Clark,Sales,elizabeth.clark@polars.io,89818,10,2015-01-19
Nathan Hernandez,Finance,nathan.hernandez@polars.io,176595,9,2015-08-20
Randy Taylor,Finance,randy.taylor@polars.io,155728,5,2020-03-01
Mr. Darin Wells,Engineering,mr..wells@polars.io,132881,4,2020-08-16
Kelly Wallace,,kelly.wallace@polars.io,80634,7,2017-08-07
Melissa Berger DVM,Marketing,melissa.dvm@polars.io,95846,10,2014-09-21
Allison Mercer,Finance,allison.mercer@polars.io,145549,8,2017-01-27
Anthony Farmer,Marketing,anthony.farmer@polars.io,125238,2,2023-02-07
Cindy Diaz,,cindy.diaz@polars.io,55693,10,2015-07-15
Benjamin Evans,Finance,benjamin.evans@polars.io,128906,0,2024-12-18
Linda Schroeder,Sales,linda.schroeder@polars.io,89423,1,2023-08-01
Elizabeth Sanders,HR,elizabeth.sanders@polars.io,83036,3,2022-02-22
Carrie Montoya,Engineering,carrie.montoya@polars.io,145307,0,2025-07-04
Paul Castro,,paul.castro@polars.io,61025,0,2024-09-15
William Duncan,Marketing,william.duncan@polars.io,138587,3,2021-09-14
Victor Brown,Marketing,victor.brown@polars.io,87981,1,2024-06-02
James Wilson,Finance,james.wilson@polars.io,199257,2,2023-01-06
Richard Chapman MD,Marketing,richard.md@polars.io,130060,10,2014-10-03
Alyssa Hanson,Finance,alyssa.hanson@polars.io,144217,1,2023-07-26
Brian Black,Operations,brian.black@polars.io,96602,4,2020-11-20
Luis Williams,Marketing,luis.williams@polars.io,84962,10,2014-11-29
Amanda Carter,Engineering,amanda.carter@polars.io,175965,10,2015-02-04
Stacy Brown,Engineering,stacy.brown@polars.io,141229,1,2024-02-26
Zachary Powell,Finance,zachary.powell@polars.io,128177,6,2019-01-01
Melissa Oneal,Engineering,melissa.oneal@polars.io,127872,4,2021-03-04
Pamela Roberts,Operations,pamela.roberts@polars.io,108873,1,2023-11-08
Kayla Dixon,Operations,kayla.dixon@polars.io,119996,6,2019-04-18
Zachary King,Marketing,zachary.king@polars.io,112247,1,2024-05-04
Suzanne Greene,,suzanne.greene@polars.io,83262,3,2021-09-06
Daniel Blanchard,Marketing,daniel.blanchard@polars.io,86963,7,2018-03-08
Susan Lloyd,Sales,susan.lloyd@polars.io,57284,1,2024-06-10
Debra Poole,,debra.poole@polars.io,71423,7,2018-07-09
Ryan Doyle,HR,ryan.doyle@polars.io,69755,10,2014-08-26
Andrew Reyes,Sales,andrew.reyes@polars.io,57479,10,2015-01-01
Jean Wilson,Engineering,jean.wilson@polars.io,139871,5,2019-12-30
Cristina Williams,,cristina.williams@polars.io,55242,8,2016-07-21
Justin Cantu,Finance,justin.cantu@polars.io,184314,7,2017-12-07
Sean Mcgee,HR,sean.mcgee@polars.io,64594,8,2017-03-25
Lindsey Patel,Sales,lindsey.patel@polars.io,80193,7,2018-05-17
Clifford Smith,,clifford.smith@polars.io,78522,5,2019-08-03
Gregory Carter,Engineering,gregory.carter@polars.io,172509,0,2024-08-27
Jennifer Gonzales,Marketing,jennifer.gonzales@polars.io,85941,5,2019-10-18
Lisa Conner,Finance,lisa.conner@polars.io,164572,1,2023-11-24
Christine Snyder,Finance,christine.snyder@polars.io,158005,10,2015-04-07
Mrs. Jennifer Duncan,Operations,mrs..duncan@polars.io,116338,0,2025-01-01
Joseph Morgan,Marketing,joseph.morgan@polars.io,92517,4,2020-07-26
Kylie Clarke,HR,kylie.clarke@polars.io,66997,10,2014-08-01
Jeremy Rodriguez,Engineering,jeremy.rodriguez@polars.io,183766,1,2023-08-28
Spencer Phillips,HR,spencer.phillips@polars.io,72416,2,2023-06-29
Richard Ford,Operations,richard.ford@polars.io,81662,9,2016-03-18
Michelle Sweeney,HR,michelle.sweeney@polars.io,85478,1,2023-10-14
Robin Schultz,Marketing,robin.schultz@polars.io,100167,7,2017-10-18
Randy Roberts,Finance,randy.roberts@polars.io,178891,0,2025-06-28
Jasmine Robertson,Engineering,jasmine.robertson@polars.io,127347,5,2020-06-26
Sherri Wilson,HR,sherri.wilson@polars.io,67745,3,2021-08-17
Jessica Newton,Marketing,jessica.newton@polars.io,114283,7,2017-08-05
Juan Flowers,Finance,juan.flowers@polars.io,190328,2,2022-09-24
Jamie Cooley,Operations,jamie.cooley@polars.io,84720,0,2025-05-05
Shane Kelly,HR,shane.kelly@polars.io,61249,7,2017-09-05
Makayla Carr,Sales,makayla.carr@polars.io,70904,10,2015-05-14
Nancy Dunlap,Sales,nancy.dunlap@polars.io,66288,10,2015-06-24
Christina Thomas,Engineering,christina.thomas@polars.io,132752,7,2017-09-09
Caitlin Kerr,Operations,caitlin.kerr@polars.io,134745,9,2016-06-16
Anthony Lawrence,Finance,anthony.lawrence@polars.io,133937,1,2023-11-05
Michael Stewart,,michael.stewart@polars.io,69455,1,2024-04-04
Morgan Allen,HR,morgan.allen@polars.io,82108,10,2014-12-26
Carrie Richardson,Engineering,carrie.richardson@polars.io,135833,10,2014-09-28
Lisa Watson,,lisa.watson@polars.io,64000,5,2020-03-30
Kristen Vargas,Finance,kristen.vargas@polars.io,125975,9,2016-04-21
Amanda Meyer,Engineering,amanda.meyer@polars.io,128286,1,2024-02-27
Daniel Singleton,Operations,daniel.singleton@polars.io,129646,6,2019-04-23
Daniel Rodriguez,Marketing,daniel.rodriguez@polars.io,104243,8,2017-04-25
Eric Mcgee,HR,eric.mcgee@polars.io,75967,9,2016-06-28
Christine Duran,Operations,christine.duran@polars.io,86551,10,2014-09-09
Ronald Taylor,HR,ronald.taylor@polars.io,70338,0,2024-11-09
John Martinez,Sales,john.martinez@polars.io,55416,0,2025-04-16
Brent Shah,Sales,brent.shah@polars.io,73594,6,2018-07-28
Lisa Galvan,Finance,lisa.galvan@polars.io,182391,2,2023-04-03
Dominic Jackson,Operations,dominic.jackson@polars.io,121931,4,2020-10-23
Leslie Brown,HR,leslie.brown@polars.io,87002,3,2022-04-19
Sydney Sims,,sydney.sims@polars.io,57465,9,2016-04-17
Elizabeth Schultz,Marketing,elizabeth.schultz@polars.io,112760,9,2016-06-03
Nicholas Henry MD,Marketing,nicholas.md@polars.io,134164,4,2021-01-20
Jeffrey Houston,HR,jeffrey.houston@polars.io,60299,8,2017-03-20
Elizabeth White,Operations,elizabeth.white@polars.io,87700,8,2017-05-31
Mindy Thomas,,mindy.thomas@polars.io,78717,8,2016-11-01
Tiffany Roberts,Operations,tiffany.roberts@polars.io,110422,10,2014-08-16
Dustin Hudson,Operations,dustin.hudson@polars.io,98115,0,2025-04-08
Sara Salazar,Sales,sara.salazar@polars.io,64779,10,2014-11-19
Tyler Clark,HR,tyler.clark@polars.io,71555,2,2022-08-08
Kevin Mills,Sales,kevin.mills@polars.io,58540,10,2015-01-14
Lynn Lopez,Engineering,lynn.lopez@polars.io,147471,6,2019-03-12
Jeff Villegas,Engineering,jeff.villegas@polars.io,179394,0,2025-05-24
Terry Bonilla,Marketing,terry.bonilla@polars.io,83437,8,2017-04-19
Shawn Edwards,Operations,shawn.edwards@polars.io,131478,0,2024-11-10
Chase Thomas,,chase.thomas@polars.io,62606,1,2024-03-18
Melissa Prince,Marketing,melissa.prince@polars.io,109151,9,2015-09-26
Dawn Kelly,Engineering,dawn.kelly@polars.io,174927,3,2021-08-05
Gabriel Barr,Engineering,gabriel.barr@polars.io,150154,1,2024-02-01
Brianna Hill,Operations,brianna.hill@polars.io,86426,3,2021-12-18
Joshua Garner,Finance,joshua.garner@polars.io,146208,6,2019-03-28
Marcus Lopez,Sales,marcus.lopez@polars.io,85866,9,2015-11-13
Susan Chambers,Sales,susan.chambers@polars.io,83564,2,2023-03-29
Christian Bradley,,christian.bradley@polars.io,84818,2,2022-12-31
Casey Washington,Engineering,casey.washington@polars.io,137878,7,2018-04-10
Deborah Hernandez,Marketing,deborah.hernandez@polars.io,103500,4,2021-04-05
Joshua Watts,Engineering,joshua.watts@polars.io,136673,0,2024-07-27
Jason Thomas,,jason.thomas@polars.io,58909,4,2021-05-09
James Compton,Sales,james.compton@polars.io,85509,7,2017-12-16
Veronica Reed,Operations,veronica.reed@polars.io,129829,5,2020-03-27
Jamie Bishop,Engineering,jamie.bishop@polars.io,199119,2,2022-08-25
Glenn Washington,,glenn.washington@polars.io,66136,9,2015-10-09
Amber Collier,Finance,amber.collier@polars.io,150107,1,2023-12-19
Ann Adams,Finance,ann.adams@polars.io,188389,7,2018-03-30
Blake Melton,,blake.melton@polars.io,86030,7,2018-02-26
Jamie Smith,Sales,jamie.smith@polars.io,83056,3,2022-03-13
Ronald Thomas,Engineering,ronald.thomas@polars.io,176917,9,2016-03-27
Michael Reed,,michael.reed@polars.io,64762,9,2016-07-16
Dr. Brooke Ward,HR,dr..ward@polars.io,62898,0,2024-11-18
Kyle Dean,Marketing,kyle.dean@polars.io,130371,8,2017-07-01
Danielle Schneider,HR,danielle.schneider@polars.io,94807,6,2018-11-15
Cheryl Peterson,Finance,cheryl.peterson@polars.io,132844,7,2017-11-07
Jason Garcia,Operations,jason.garcia@polars.io,85445,8,2017-07-12
Beth Martin,Marketing,beth.martin@polars.io,127958,6,2019-03-29
Jeremiah Pierce,Operations,jeremiah.pierce@polars.io,103488,4,2021-03-17
Sherri Farrell,Marketing,sherri.farrell@polars.io,85946,0,2024-11-13
Alex Lowe,Marketing,alex.lowe@polars.io,99977,2,2022-07-22
Bruce Young,HR,bruce.young@polars.io,97380,9,2016-07-06
Roy Adams,HR,roy.adams@polars.io,90393,2,2022-07-22
Laura Williams,HR,laura.williams@polars.io,72120,5,2019-09-01
Melanie Williams,HR,melanie.williams@polars.io,60089,10,2015-06-13
Stephen Jackson,HR,stephen.jackson@polars.io,81817,8,2017-07-02
George Garrett,Engineering,george.garrett@polars.io,175823,4,2020-07-25
Adrian Graham,,adrian.graham@polars.io,68575,10,2015-06-08
Thomas Pierce,,thomas.pierce@polars.io,77000,0,2024-10-26
Heather Larson,Marketing,heather.larson@polars.io,103854,0,2025-05-21
Robert Gray,HR,robert.gray@polars.io,83959,7,2017-09-05
Keith Joseph,Sales,keith.joseph@polars.io,78958,5,2020-04-19
Amanda Parker,Marketing,amanda.parker@polars.io,116620,1,2023-10-03
Christopher Cantu,Marketing,christopher.cantu@polars.io,130697,3,2022-05-08
Jeffrey Hopkins,Engineering,jeffrey.hopkins@polars.io,151278,8,2017-05-21
Scott Campbell,Marketing,scott.campbell@polars.io,111358,9,2015-07-25
Paul Cunningham,Operations,paul.cunningham@polars.io,129359,3,2022-02-03
Andrew Carroll,Engineering,andrew.carroll@polars.io,155043,8,2016-08-04
Amber Harris,HR,amber.harris@polars.io,78162,0,2025-06-14
Kevin Reyes,Engineering,kevin.reyes@polars.io,165249,7,2017-11-12
Kayla Brown,,kayla.brown@polars.io,89516,1,2023-11-19
Diane Bradford,Marketing,diane.bradford@polars.io,114858,10,2014-10-20
David Garcia,Engineering,david.garcia@polars.io,179241,9,2016-01-12
Barbara Campbell PhD,Finance,barbara.phd@polars.io,128601,3,2021-11-25
George Floyd,Sales,george.floyd@polars.io,60254,6,2019-04-18
Mark Hawkins,Engineering,mark.hawkins@polars.io,130085,1,2024-04-23
Cindy Bush,Engineering,cindy.bush@polars.io,134683,2,2022-11-05
Tara Garza,Operations,tara.garza@polars.io,137343,3,2021-10-24
Miranda Hawkins,Marketing,miranda.hawkins@polars.io,81487,4,2020-12-16
Charles Bradshaw,Marketing,charles.bradshaw@polars.io,115483,2,2022-11-17
Amy Pham,Engineering,amy.pham@polars.io,175067,7,2017-08-22
Brandon Kemp,Sales,brandon.kemp@polars.io,74104,3,2022-06-15
Jimmy Sparks,Sales,jimmy.sparks@polars.io,70225,8,2016-08-22
Shelby Lawson,Engineering,shelby.lawson@polars.io,173961,9,2016-01-25
Alexis Smith,Marketing,alexis.smith@polars.io,122339,5,2019-11-12
Justin Nelson,,justin.nelson@polars.io,89744,8,2016-12-03
Jesus Fletcher,HR,jesus.fletcher@polars.io,79928,9,2016-05-12
Nicole Kennedy,Finance,nicole.kennedy@polars.io,160172,2,2023-03-06
Carol Garcia,Operations,carol.garcia@polars.io,111735,5,2020-02-21
Mary Smith,Finance,mary.smith@polars.io,126202,2,2023-01-18
Jason Marshall,Engineering,jason.marshall@polars.io,179759,2,2022-09-04
Jeffery Cameron,Operations,jeffery.cameron@polars.io,126649,8,2017-02-22
Keith Carson,Operations,keith.carson@polars.io,91492,10,2015-05-02
Jason Alvarez,Operations,jason.alvarez@polars.io,95591,1,2024-06-25
James Evans,Engineering,james.evans@polars.io,195304,2,2022-12-04
Lori Hill,Engineering,lori.hill@polars.io,168453,2,2023-04-03
Erin Warner,,erin.warner@polars.io,57273,10,2015-02-07
Kathryn Wilkinson,Engineering,kathryn.wilkinson@polars.io,139391,5,2019-12-01
Deborah Cruz,,deborah.cruz@polars.io,65655,8,2017-02-14
Michael Ochoa,Sales,michael.ochoa@polars.io,56633,6,2018-11-05
Jean Black,Finance,jean.black@polars.io,139055,7,2018-02-05
Joseph Bailey,Operations,joseph.bailey@polars.io,80281,8,2016-11-01
Nathan Rivera,Engineering,nathan.rivera@polars.io,158739,7,2018-02-20
Anne Taylor,Finance,anne.taylor@polars.io,195199,10,2015-05-05
Dustin Martin,Finance,dustin.martin@polars.io,194086,7,2018-01-26
Donald Peterson,Marketing,donald.peterson@polars.io,87360,7,2018-06-28
Anthony Jimenez,Operations,anthony.jimenez@polars.io,124433,8,2017-05-20
Bianca Moore,Engineering,bianca.moore@polars.io,123250,6,2018-09-05
Ryan Henry,Finance,ryan.henry@polars.io,148883,7,2018-01-17
Melinda Wilson,Sales,melinda.wilson@polars.io,76388,0,2024-09-08
Heather Anderson MD,Marketing,heather.md@polars.io,92789,9,2015-10-23
Christopher Lamb,Operations,christopher.lamb@polars.io,131202,4,2021-04-08
Gerald Long,Sales,gerald.long@polars.io,60478,8,2016-12-02
Scott Wilson,Marketing,scott.wilson@polars.io,124011,1,2023-10-28
Todd Cohen,HR,todd.cohen@polars.io,72743,7,2018-02-06
Amber Smith,,amber.smith@polars.io,88525,0,2024-08-09
Dr. Brandon Flores,Engineering,dr..flores@polars.io,172108,2,2022-12-11
Christina Weaver,Engineering,christina.weaver@polars.io,170608,5,2020-07-11
Ryan Freeman,Engineering,ryan.freeman@polars.io,165209,5,2020-02-11
Alison Wilson,HR,alison.wilson@polars.io,96767,1,2024-03-28
Deborah Hancock,Marketing,deborah.hancock@polars.io,138183,7,2017-12-18
Jennifer Wilcox,Finance,jennifer.wilcox@polars.io,177999,4,2021-04-25
Stephanie Bass,Finance,stephanie.bass@polars.io,175552,6,2019-05-08
Tina Miller,Finance,tina.miller@polars.io,196962,9,2016-06-04
Peter Green,Operations,peter.green@polars.io,93617,4,2020-11-16
Patricia Duncan,Finance,patricia.duncan@polars.io,188852,5,2020-06-14
Jennifer Murphy,,jennifer.murphy@polars.io,79626,1,2024-07-13
Rachel Walker,HR,rachel.walker@polars.io,77912,6,2019-04-20
James Bryant,,james.bryant@polars.io,85285,9,2016-05-09
Patricia Vazquez,Operations,patricia.vazquez@polars.io,92190,6,2019-02-20
Katie Clay,,katie.clay@polars.io,87151,0,2025-02-12
Monique Swanson,Finance,monique.swanson@polars.io,196704,4,2020-11-07
Christopher Lynch,,christopher.lynch@polars.io,85372,3,2022-07-04
